id,palavra,traducao,pronuncia
2064,product,produto,""
2065,production,"produção",""
2066,profession,"profissão",""
2067,professional,profissional,""
2068,professor,professor,""
2069,profile,perfil,""
2070,profit,lucro,""
2071,program,programa,""
2072,progress,progresso,""
2073,project,projeto,""
2074,prominent,proeminente,""
2075,promise,promessa,""
2076,promote,promover,""
2077,prompt,"rápido",""
2078,proof,prova,""
2079,proper,correta,""
2080,properly,corretamente,""
2081,property,propriedade,""
2082,proportion,"proporção",""
2083,proposal,proposta,""
2084,propose,propor,""
2085,proposed,proposto,""
2086,prosecutor,procurador,""
2087,prospect,perspetiva,""
2088,protect,proteger,""
2089,protection,"proteção",""
2090,protein,"proteína",""
2091,protest,protesto,"/ˈpɹəʊ.tɛst/"
2092,proud,atual,"/pɹaʊd/"
2093,prove,provar,"/pɹuːv/"
2094,provide,fornecer,"/pɹəˈvaɪd/"
2095,provider,fornecedor,"pronunciation not found"
2096,province,"províncias","/ˈpɹɒvɪns/"
2097,provision,"disposição","/pɹəˈvɪʒ.ən/"
2098,psychological,"psicológico","/ˌsaɪkəˈlɒdʒɪkl/"
2099,psychologist,"psicólogo","/ˌsaɪˈkɑl.ə.d͡ʒɪst/"
2100,psychology,psicologia,"/saɪˈkɒlədʒɪ/"
2101,public,"público","/ˈpʌblɪk/"
2102,publication,"publicação","/ˌpʌblɪˈkeɪʃən/"
2103,publicly,publicamente,"/ˈpʌblɪkli/"
2104,publish,publicar,"/ˈpʌblɪʃ/"
2105,publisher,editor,"/ˈpʌblɪʃɚ/"
2106,pull,puxar,"/pʊl/"
2107,punishment,"punição","/ˈpʌnɪʃmənt/"
2108,purchase,compra,"/ˈpɜːtʃəs/"
2109,pure,puro,"/ˈpjɔː/"
2110,purpose,objetivo,"/ˈpɜːpəs/"
2111,pursue,prosseguir,"/pəˈʃu/"
2112,push,empurrar,"[pʷʊʃ]"
2113,put,colocar,"/pʊt/"
2114,qualify,qualificar,"/ˈkwɒl.ɪ.faɪ/"
2115,quality,qualidade,"/ˈkwɒlɪti/"
2116,quarter,trimestre,"/ˈkoː.tɘ/"
2117,quarterback,quarterback,"pronunciation not found"
2118,question,"questão","/ˈkwɛstjən/"
2119,quick,"rápido","/kwɪk/"
2120,quickly,rapidamente,""
2121,quiet,calmo,""
2122,quietly,calmamente,""
2123,quit,desistir,""
2124,quite,bastante,""
2125,quote,"cotação",""
2126,race,corrida,""
2127,racial,racial,""
2128,radical,radical,""
2129,radio,"rádio",""
2130,rail,carril,""
2131,rain,chuva,""
2132,raise,aumentar,""
2133,range,gama,""
2134,rank,"classificação",""
2135,rapid,"rápido",""
2136,rapidly,rapidamente,""
2137,rare,raro,""
2138,rarely,raramente,""
2139,rate,taxa,""
2140,rather,bastante,""
2141,rating,"classificação",""
2142,ratio,"rácio",""
2143,raw,bruto,""
2144,reach,"alcançar",""
2145,react,reagir,""
2146,reaction,"reação",""
2147,read,ler,""
2148,reader,leitor,""
2149,reading,leitura,""
2150,ready,pronto,""
2151,real,real,""
2152,reality,realidade,""
2153,realize,realizar,""
2154,really,realmente,""
2155,reason,"razão",""
2156,reasonable,"razoável",""
2157,recall,recolha,""
2158,receive,receber,""
2159,recent,recente,""
2160,recently,recentemente,""
2161,recipe,receita,""
2162,recognition,reconhecimento,""
2163,recognize,reconhecer,""
2164,recommend,recomendar,""
2165,recommendation,"recomendação",""
2166,record,registo,""
2167,recording,registo,""
2168,recover,recuperar,""
2169,recovery,"recuperação",""
2170,recruit,recruta,""
2171,red,vermelho,""
2172,reduce,reduzir,""
2173,reduction,"redução",""
2174,refer,referir,""
2175,reference,"referência",""
2176,reflect,refletir,""
2177,reflection,"reflexão",""
2178,reform,reforma,""
2179,refugee,refugiado,""
2180,refuse,recusar,""
2181,regard,considerar,""
2182,regarding,"relativamente a",""
2183,regardless,independentemente,""
2184,regime,regime,""
2185,region,"região",""
2186,regional,regional,""
2187,register,registo,""
2188,regular,regular,""
2189,regularly,regularmente,""
2190,regulate,regular,""
2191,regulation,"regulamentação",""
2192,reinforce,"reforçar",""
2193,reject,rejeitar,""
2194,relate,relacionar,""
2195,relation,"relação",""
2196,relationship,"relação",""
2197,relative,relativo,""
2198,relatively,relativamente,""
2199,relax,relaxar,""
2200,release,"libertação",""
2201,relevant,relevante,""
2202,relief,"alívio",""
2203,religion,"religião",""
2204,religious,religioso,""
2205,rely,confiar,""
2206,remain,permanecer,""
2207,remaining,restantes,""
2208,remarkable,"notável",""
2209,remember,recordar,""
2210,remind,recordar,""
2211,remote,remoto,""
2212,remove,remover,""
2213,repeat,repetir,""
2214,repeatedly,repetidamente,""
2215,replace,substituir,""
2216,reply,resposta,""
2217,report,"relatório",""
2218,reporter,"repórter",""
2219,represent,representar,""
2220,representation,"representação",""
2221,representative,representante,""
2222,Republican,Republicano,""
2223,reputation,"reputação",""
2224,request,pedido,"/ɹɪˈkwɛst/"
2225,require,exigir,""
2226,requirement,requisito,"/ɹɪˈkwʌɪəm(ə)nt/"
2227,research,"investigação","/ɹɪˈsɜːtʃ/"
2228,researcher,investigador,"pronunciation not found"
2229,resemble,assemelhar-se,""
2230,reservation,reserva,""
2231,resident,residente,"/ˈɹɛzɪd(ə)nt/"
2232,resist,resistir,"/ɹəˈzɪst/"
2233,resistance,"resistência","/ɹɪˈzɪstəns/"
2234,resolution,"resolução","/ˌɹɛzəˈluːʃ(ə)n/"
2235,resolve,resolver,"/ɹiːˈzɒlv/"
2236,resort,"estância","/ɹɨˈzɔ(ɹ)t/"
2237,resource,recurso,"/ɹɪˈsɔɹs/"
2238,respect,respeito,"/ɹɪˈspɛkt/"
2239,respond,"responder a","pronunciation not found"
2240,respondent,respondent,"pronunciation not found"
2241,response,resposta,"/ɹɪˈspɒns/"
2242,responsibility,responsabilidade,"/ɹɪˌspɑnsəˈbɪlɪɾi/"
2243,responsible,"responsável","/ɹɪˈspɒnsəbl̩/"
2244,rest,descanso,"/ɹɛst/"
2245,restaurant,restaurant,"/ˈɹɛs.t(ə).ɹ(ə)nt/"
2246,restore,restaurar,"/ɹɪˈstɔː/"
2247,restriction,"restrição","/ɹɪˈstɹɪkʃən/"
2248,result,resultado,"/ɹɪˈzʌlt/"
2249,retain,reter,"/ɹɪˈteɪn/"
2250,retire,reformar-se,"/ɹəˈtaɪə(ɹ)/"
2251,retirement,reforma,"/ɹəˈtaɪə(ɹ).mənt/"
2252,return,retorno,"/ɹɪˈtɜːn/"
2253,reveal,revelar,"/ɹəˈviːl/"
2254,revenue,receitas,""
2255,review,"revisão",""
2256,revolution,"revolução",""
2257,rhythm,ritmo,""
2258,rice,arroz,"/ɹaɪs/"
2259,rich,rico,"/ɹɪt͡ʃ/"
2260,rid,livrar-se,"/ˈɹɪd/"
2261,ride,passeio,""
2262,rifle,espingarda,""
2263,right,correto,""
2264,ring,anel,""
2265,rise,subir,""
2266,risk,risco,""
2267,river,rio,""
2268,road,"rodoviário",""
2269,rock,rocha,""
2270,role,papel,""
2271,roll,rolo,""
2272,romantic,"romântico",""
2273,roof,teto,""
2274,room,quarto,""
2275,root,raiz,""
2276,rope,corda,""
2277,rose,rosa,""
2278,rough,"áspero",""
2279,roughly,aproximadamente,""
2280,round,redondo,""
2281,route,percurso,""
2282,routine,rotina,""
2283,row,fila,""
2284,rub,esfregar,""
2285,rule,regra,""
2286,run,correr,""
2287,running,"em funcionamento",""
2288,rural,rural,""
2289,rush,pressa,""
2290,Russian,Russo,""
2291,sacred,sagrado,""
2292,sad,triste,""
2293,safe,seguro,""
2294,safety,"segurança",""
2295,sake,"saquê",""
2296,salad,salada,""
2297,salary,"salário",""
2298,sale,venda,""
2299,sales,sais,""
2300,salt,sal,""
2301,same,mesmo,""
2302,sample,amostra,""
2303,sanction,"sanção",""
2304,sand,areia,""
2305,satellite,"satélite",""
2306,satisfaction,"satisfação",""
2307,satisfy,satisfazer,""
2308,sauce,molho,""
2309,save,salvar,""
2310,saving,"poupança",""
2311,say,dizer,""
2312,scale,escala,""
2313,scandal,"escândalo",""
2314,scared,assustado,""
2315,scenario,"cenário",""
2316,scene,cena,""
2317,schedule,"horário",""
2318,scheme,Esquema,""
2319,scholar,"académico",""
2320,scholarship,bolsa,""
2321,school,escola,""
2322,science,"ciência",""
2323,scientific,"científico",""
2324,scientist,cientista,""
2325,scope,"âmbito",""
2326,score,"pontuação",""
2327,scream,gritar,""
2328,screen,"ecrã",""
2329,script,"guião",""
2330,sea,mar,""
2331,search,pesquisa,""
2332,season,"estação",""
2333,seat,assento,""
2334,second,segundo,""
2335,secret,segredo,""
2336,secretary,"secretário",""
2337,section,"secção",""
2338,sector,sector,""
2339,secure,seguro,""
2340,security,"segurança",""
2341,see,ver,""
2342,seed,semente,""
2343,seek,procurar,""
2344,seem,parecer,""
2345,segment,segmento,""
2346,seize,apreender,""
2347,select,selecionar,""
2348,selection,"seleção",""
2349,self,"próprio",""
2350,sell,vender,""
2351,Senate,Senado,""
2352,senator,senador,""
2353,send,enviar,"/sɛnd/"
2354,senior,"sénior","/ˈsiːnjə(r)/"
2355,sense,sentido,"/sɛn(t)s/"
2356,sensitive,"sensível",""
2357,sentence,sentence,""
2358,separate,separado,"/ˈsɛpəɹət/"
2359,sequence,"sequência",""
2360,series,"série",""
2361,serious,grave,"/ˈsɪə.ɹi.əs/"
2362,seriously,"a sério","/ˈsɪəɹi.əsli/"
2363,serve,servir,"/sɜːv/"
2364,service,"serviço","/ˈsɜːvɪs/"
2365,session,"sessão","/ˈsɛʃən/"
2366,set,definir,"/sɛt/"
2367,setting,"definição","/ˈsɛtɪŋ/"
2368,settle,assentar,"/ˈsɛtəl/"
2369,settlement,"liquidação","/ˈset.l.mənt/"
2370,seven,sete,"/ˈsɛv.ən/"
2371,several,"vários","/ˈsɛv(ə)ɹəl/"
2372,severe,grave,"/sɪˈvɪə/"
2373,sex,sexo,"/sɛks/"
2374,sexual,sexual,"/ˈsɛksjuəl/"
2375,shade,sombra,"/ʃeɪd/"
2376,shadow,sombra,"/ˈʃædəʊ/"
2377,shake,agitar,"/ˈʃeɪk/"
2378,shall,deve,"/ˈʃæl/"
2379,shape,forma,"/ʃeɪp/"
2380,share,"ação","/ʃɛə/"
2381,sharp,"nítido",""
2382,she,ela,""
2383,sheet,folha,""
2384,shelf,prateleira,""
2385,shell,concha,""
2386,shelter,abrigo,""
2387,shift,"deslocação",""
2388,shine,brilhar,""
2389,ship,navio,""
2390,shirt,camisa,""
2391,shit,merda,""
2392,shock,choque,""
2393,shoe,sapato,""
2394,shoot,filmar,""
2395,shooting,tiroteio,""
2396,shop,loja,""
2397,shopping,compras,""
2398,shore,costa,""
2399,short,curto,""
2400,shortly,brevemente,""
2401,shot,tiro,""
2402,should,deve,""
2403,shoulder,ombro,""
2404,shout,gritar,""
2405,show,"espetáculo",""
2406,shower,duche,""
2407,shrug,"encolher os ombros",""
2408,shut,fechado,""
2409,sick,doente,""
2410,side,lado,""
2411,sigh,suspiro,""
2412,sight,"visão",""
2413,sign,sinal,""
2414,signal,sinal,""
2415,significance,significado,""
2416,significant,significativo,""
2417,significantly,significativamente,""
2418,silence,"silêncio",""
2419,silent,silencioso,""
2420,silver,prata,""
2421,similar,semelhante,""
2422,similarly,"da mesma forma",""
2423,simple,simples,""
2424,simply,simplesmente,""
2425,sin,pecado,""
2426,since,desde,""
2427,sing,cantar,""
2428,singer,cantor,""
2429,single,"único",""
2430,sink,pia,""
2431,sir,senhor,""
2432,sister,"irmã",""
2433,sit,sentar,""
2434,site,local,""
2435,situation,"situação",""
2436,six,seis,""
2437,size,tamanho,""
2438,ski,esqui,""
2439,skill,"competência",""
2440,skin,pele,""
2441,sky,"céu",""
2442,slave,escravo,""
2443,sleep,dormir,""
2444,slice,fatia,""
2445,slide,deslizamento,""
2446,slight,ligeiro,""
2447,slightly,ligeiramente,""
2448,slip,deslizamento,""
2449,slow,lento,""
2450,slowly,lentamente,""
2451,small,pequeno,""
2452,smart,dor,""
2453,smell,cheiro,""
2454,smile,sorriso,""
2455,smoke,fumo,""
2456,smooth,suave,""
2457,snap,"instantâneo",""
2458,snow,neve,""
2459,so,assim,""
2460,so-called,chamado,""
2461,soccer,futebol,""
2462,social,social,""
2463,society,sociedade,""
2464,soft,suave,""
2465,software,software,""
2466,soil,solo,""
2467,solar,solar,""
2468,soldier,soldado,""
2469,solid,"sólido",""
2470,solution,"solução",""
2471,solve,resolver,""
2472,some,alguns,""
2473,somebody,"alguém",""
2474,somehow,"de alguma forma",""
2475,someone,"alguém",""
2476,something,algo,""
2477,sometimes,"por vezes",""
2478,somewhat,"um pouco",""
2479,somewhere,algures,""
2480,son,filho,""
2481,song,"canção",""
2482,soon,"em breve",""
2483,sophisticated,sofisticado,""
2484,sorry,"lamentável",""
2485,sort,"feitiço",""
2486,soul,alma,""
2487,sound,sonoro,""
2488,soup,sopa,""
2489,source,fonte,""
2490,south,sul,""
2491,southern,meridional,""
2492,Soviet,"Soviético",""
2493,space,"espaço",""
2494,Spanish,espanhol,""
2495,speak,falar,""
2496,speaker,altifalante,""
2497,special,especial,""
2498,specialist,especialista,""
2499,species,"espécies",""
2500,specific,"específico",""
2501,specifically,especificamente,""
2502,speech,discurso,""
2503,speed,velocidade,""
2504,spend,gastar,""
2505,spending,despesas,""
2506,spin,girar,""
2507,spirit,"espírito",""
2508,spiritual,espiritual,""
2509,split,dividir,""
2510,spokesman,porta-voz,""
2511,sport,desporto,"/spɔːt/"
2512,spot,ponto,"/spɒt/"
2513,spread,espalhar,"/spɹɛd/"
2514,spring,primavera,"/spɹɪŋ/"
2515,square,quadrado,"/skwɛə(ɹ)/"
2516,squeeze,apertar,""
2517,stability,estabilidade,"/stəˈbɪlɪti/"
2518,stable,"estável","/ˈsteɪ.bəɫ/"
2519,staff,pessoal,"/ˈstæf/"
2520,stage,fase,""
2521,stair,escada,""
2522,stake,aposta,""
2523,stand,ficou,""
2524,standard,"padrão",""
2525,standing,"de pé",""
2526,star,estrela,""
2527,stare,olhar,""
2528,start,"início",""
2529,state,Estado,""
2530,statement,"declaração",""
2531,station,"estação",""
2532,statistics,"estatísticas",""
2533,status,estatuto,""
2534,stay,ficar,""
2535,steady,"estável",""
2536,steal,roubar,""
2537,steel,"aço",""
2538,step,passo,""
2539,stick,pau,""
2540,still,silencioso,""
2541,stir,stir,""
2542,stock,stock,""
2543,stomach,"estômago",""
2544,stone,pedra,""
2545,stop,Parar,""
2546,storage,armazenamento,""
2547,store,loja,""
2548,storm,tempestade,""
2549,story,"história",""
2550,straight,direito,""
2551,strange,estranho,""
2552,stranger,estranho,""
2553,strategic,"estratégico",""
2554,strategy,"estratégia",""
2555,stream,fluxo,""
2556,street,rua,""
2557,strength,"força",""
2558,strengthen,"reforçar",""
2559,stress,stress,""
2560,stretch,esticar,""
2561,strike,greve,""
2562,string,corda,""
2563,strip,faixa,""
2564,stroke,"acidente vascular cerebral",""
2565,strong,forte,""
2566,strongly,fortemente,""
2567,structure,estrutura,""
2568,struggle,luta,""
2569,student,estudante,""
2570,studio,"estúdio",""
2571,study,estudo,""
2572,stuff,material,""
2573,stupid,"estúpido",""
2574,style,estilo,""
2575,subject,assunto,""
2576,submit,apresentar,""
2577,subsequent,posterior,""
2578,substance,"substância",""
2579,substantial,substancial,""
2580,succeed,"ter sucesso",""
2581,success,sucesso,""
2582,successful,bem-sucedido,""
2583,successfully,"com sucesso",""
2584,such,tal,""
2585,sudden,repentino,""
2586,suddenly,"de repente",""
2587,sue,processar,""
2588,suffer,sofrer,""
2589,sufficient,suficiente,""
2590,sugar,"açúcar",""
2591,suggest,sugerir,""
2592,suggestion,"sugestão",""
2593,suicide,"suicídio",""
2594,suit,segue,""
2595,summer,"verão",""
2596,summit,cimeira,""
2597,sun,sol,""
2598,super,super,""
2599,supply,fornecimento,""
2600,support,apoio,""
2601,supporter,apoiante,""
2602,suppose,supor,""
2603,supposed,suposto,""
2604,Supreme,Supremo,""
2605,sure,certo,""
2606,surely,seguramente,""
2607,surface,"superfície",""
2608,surgery,cirurgia,""
2609,surprise,surpresa,""
2610,surprised,surpreendido,""
2611,surprising,surpreendente,"/səˈpɹaɪzɪŋ/"
2612,surprisingly,surpreendentemente,"pronunciation not found"
2613,surround,envolvente,"/səˈɹaʊnd/"
2614,survey,"inquérito","pronunciation not found"
2615,survival,"sobrevivência","/sɚˈvaɪvəl/"
2616,survive,sobreviver,"/səˈvʌɪv/"
2617,survivor,sobrevivente,"/sɚˈvaɪvɚ/"
2618,suspect,suspeito,"/ˈsʌs.pɛkt/"
2619,sustain,sustentar,"/səˈsteɪn/"
2620,swear,jurar,"/swɛə/"
2621,sweep,varrer,"/swiːp/"
2622,sweet,doce,"/swiːt/"
2623,swim,nadar,"/swɪm/"
2624,swing,"baloiço","/ˈswɪŋ/"
2625,switch,interrutor,"/swɪtʃ/"
2626,symbol,"símbolo","/ˈsɪmbəl/"
2627,symptom,sintoma,"/ˈsɪm(p)təm/"
2628,system,sistema,"/ˈsɪstəm/"
2629,table,tabela,"/ˈteɪbəl/"
2630,tablespoon,"colher de sopa","/ˈteɪbəlˌspuːn/"
2631,tactic,"tática","/ˈtæktɪk/"
2632,tail,cauda,"/teɪl/"
2633,take,tomar,"/teɪk/"
2634,tale,tal,"/ˈteɪl/"
2635,talent,talento,"/ˈtalənt/"
2636,talk,conversa,""
2637,tall,alto,""
2638,tank,tanque,""
2639,tap,toque,"/tæp/"
2640,tape,fita,""
2641,target,objetivo,""
2642,task,tarefa,""
2643,taste,gosto,""
2644,tax,fiscal,""
2645,taxpayer,contribuinte,""
2646,tea,"chá",""
2647,teach,ensinar,""
2648,teacher,professor,""
2649,teaching,ensino,""
2650,team,equipa,""
2651,tear,rasgar,""
2652,teaspoon,"colher de chá",""
2653,technical,"técnico",""
2654,technique,"técnica",""
2655,technology,tecnologia,""
2656,teen,adolescente,""
2657,teenager,adolescente,""
2658,telephone,telefone,""
2659,telescope,"telescópio",""
2660,television,"televisão",""
2661,tell,contar,""
2662,temperature,temperatura,""
2663,temporary,"temporário",""
2664,ten,dez,""
2665,tend,tender,""
2666,tendency,"tendência",""
2667,tennis,"ténis",""
2668,tension,"tensão",""
2669,tent,tenda,""
2670,term,prazo,""
2671,terms,termos,""
2672,terrible,"terrível",""
2673,territory,"território",""
2674,terror,terror,""
2675,terrorism,terrorismo,""
2676,terrorist,terrorista,""
2677,test,teste,""
2678,testify,testemunhar,""
2679,testimony,testemunho,""
2680,testing,teste,""
2681,text,texto,""
2682,than,"do que",""
2683,thank,agradecer,""
2684,thanks,agradecimentos,""
2685,that,que,""
2686,the,a,""
2687,theater,teatro,""
2688,their,seus,""
2689,them,eles,""
2690,theme,tema,""
2691,themselves,"eles próprios",""
2692,then,depois,""
2693,theory,teoria,""
2694,therapy,terapia,""
2695,there,"lá",""
2696,therefore,portanto,""
2697,these,estes,""
2698,they,eles,""
2699,thick,grosso,""
2700,thin,fino,""
2701,thing,coisa,""
2702,think,pensar,""
2703,thinking,pensamento,""
2704,third,terceiro,""
2705,thirty,trinta,""
2706,this,este,""
2707,those,aqueles,""
2708,though,embora,""
2709,thought,pensamento,""
2710,thousand,mil,""
2711,threat,"ameaça",""
2712,threaten,"ameaçar",""
2713,three,"três",""
2714,throat,garganta,""
2715,through,"através de",""
2716,throughout,"em todo",""
2717,throw,"lançamento",""
2718,thus,assim,""
2719,ticket,bilhete,""
2720,tie,empate,""
2721,tight,apertado,""
2722,time,tempo,""
2723,tiny,"minúsculo",""
2724,tip,ponta,""
2725,tire,pneu,""
2726,tired,cansado,""
2727,tissue,tecido,""
2728,title,"título",""
2729,to,para,""
2730,tobacco,tabaco,""
2731,today,hoje,""
2732,toe,"dedo do pé",""
2733,together,juntos,""
2734,tomato,tomate,""
2735,tomorrow,"amanhã",""
2736,tone,tom,""
2737,tongue,"língua",""
2738,tonight,"esta noite",""
2739,too,"também",""
2740,tool,ferramenta,""
2741,tooth,dente,""
2742,top,topo,""
2743,topic,tema,""
2744,toss,arremesso,""
2745,total,total,""
2746,totally,totalmente,""
2747,touch,toque,""
2748,tough,duro,""
2749,tour,torre,""
2750,tourist,"turística",""
2751,tournament,torneio,""
2752,toward,"em direção a",""
2753,towards,"em direção a",""
2754,tower,torre,""
2755,town,cidade,""
2756,toy,brinquedo,""
2757,trace,"traço",""
2758,track,pista,""
2759,trade,"comércio",""
2760,tradition,"tradição",""
2761,traditional,tradicional,""
2762,traffic,"tráfego",""
2763,tragedy,"tragédia",""
2764,trail,rasto,""
2765,train,comboio,""
2766,training,"formação",""
2767,transfer,"transferência",""
2768,transform,transformar,""
2769,transformation,"transformação",""
2770,transition,"transição",""
2771,translate,traduzir,""
2772,transportation,transporte,""
2773,travel,viajar,""
2774,treat,tratar,""
2775,treatment,tratamento,""
2776,treaty,tratado,""
2777,tree,"árvore",""
2778,tremendous,tremendo,""
2779,trend,"tendência",""
2780,trial,ensaio,""
2781,tribe,tribo,""
2782,trick,truque,""
2783,trip,viagem,""
2784,troop,tropa,""
2785,trouble,desordem,""
2786,truck,"camião",""
2787,true,verdadeiro,""
2788,truly,verdadeiramente,""
2789,trust,"confiança",""
2790,truth,verdade,""
2791,try,tentar,""
2792,tube,tubo,""
2793,tunnel,"túnel",""
2794,turn,volta,""
2795,TV,TV,""
2796,twelve,doze,""
2797,twenty,vinte,""
2798,twice,"duas vezes",""
2799,twin,"gémeo",""
2800,two,dois,""
2801,type,tipo,"/taɪp/"
2802,typical,"típico","/ˈtɪpɪkl̩/"
2803,typically,tipicamente,"/ˈtɪp.ɪ.kl.i/"
2804,ugly,feio,"/ˈʌɡli/"
2805,ultimate,definitivo,"/ˈʌltɪmɪt/"
2806,ultimately,"em última análise","/ˈʌltɪmətli/"
2807,unable,incapaz,"/ʌnˈeɪbəl/"
2808,uncle,tio,"/ˈʌŋ.kəl/"
2809,under,sob,"/ˈʊndə/"
2810,undergo,submeter-se,""
2811,understand,compreender,""
2812,understanding,"compreensão",""
2813,unfortunately,infelizmente,""
2814,uniform,uniforme,""
2815,union,"união",""
2816,unique,"único",""
2817,unit,unidade,""
2818,United,Unidos,""
2819,universal,universal,""
2820,universe,universo,""
2821,university,universidade,""
2822,unknown,desconhecido,""
2823,unless,"a menos que",""
2824,unlike,diferente,""
2825,unlikely,"improvável",""
2826,until,"até",""
2827,unusual,invulgar,""
2828,up,"para cima",""
2829,upon,sobre,""
2830,upper,superior,""
2831,urban,urbano,""
2832,urge,"urgência",""
2833,us,"nós",""
2834,use,"utilização",""
2835,used,utilizado,""
2836,useful,"útil",""
2837,user,utilizador,""
2838,usual,habitual,""
2839,usually,normalmente,""
2840,utility,utilidade,""
2841,vacation,"férias",""
2842,valley,vale,""
2843,valuable,valioso,""
2844,value,valor,""
2845,variable,"variável",""
2846,variation,"variação",""
2847,variety,variedade,""
2848,various,diversos,""
2849,vary,variar,""
2850,vast,"responder a",""
2851,vegetable,vegetal,""
2852,vehicle,"veículo",""
2853,venture,empreendimento,""
2854,version,"versão",""
2855,versus,versus,""
2856,very,muito,""
2857,vessel,navio,""
2858,veteran,veterano,""
2859,via,via,""
2860,victim,"vítima",""
2861,victory,"vitória",""
2862,video,"vídeo",""
2863,view,ver,""
2864,viewer,espetador,""
2865,village,aldeia,""
2866,violate,violar,""
2867,violation,"violação",""
2868,violence,"violência",""
2869,violent,violento,""
2870,virtually,virtualmente,""
2871,virtue,virtude,""
2872,virus,"vírus",""
2873,visible,"visível",""
2874,vision,"visão",""
2875,visit,visita,""
2876,visitor,visitante,""
2877,visual,visual,""
2878,vital,vital,""
2879,voice,voz,""
2880,volume,volume,""
2881,volunteer,"voluntário",""
2882,vote,"votação",""
2883,voter,eleitor,""
2884,vs,vs,""
2885,vulnerable,"vulnerável",""
2886,wage,"salário",""
2887,wait,esperar,""
2888,wake,acordar,""
2889,walk,andar,""
2890,wall,parede,""
2891,wander,vaguear,""
2892,want,porque,""
2893,war,guerra,""
2894,warm,quente,""
2895,warn,avisar,""
2896,warning,aviso,""
2897,wash,lavagem,""
2898,waste,"resíduos",""
2899,watch,assistir,""
2900,water,"água",""
2901,wave,onda,""
2902,way,forma,""
2903,we,"nós",""
2904,weak,fraco,""
2905,wealth,riqueza,""
2906,wealthy,rico,""
2907,weapon,arma,""
2908,wear,desgaste,""
2909,weather,clima,""
2910,wedding,casamento,""
2911,week,semana,""
2912,weekend,"fim de semana",""
2913,weekly,semanal,""
2914,weigh,pesar,""
2915,weight,peso,""
2916,welcome,bem-vindo,""
2917,welfare,bem-estar,""
2918,well,bem,""
2919,west,oeste,""
2920,western,ocidental,""
2921,wet,"húmido",""
2922,what,"o que",""
2923,whatever,"qualquer que seja",""
2924,wheel,roda,""
2925,when,quando,""
2926,whenever,"sempre que",""
2927,where,onde,""
2928,whereas,"Considerando que",""
2929,whether,se,""
2930,which,que,""
2931,while,enquanto,""
2932,whisper,sussurro,""
2933,white,branco,""
2934,who,que,""
2935,whole,todo,""
2936,whom,que,""
2937,whose,cujo,""
2938,why,"porquê",""
2939,wide,largo,""
2940,widely,amplamente,""
2941,widespread,generalizada,""
2942,wife,esposa,""
2943,wild,selvagem,""
2944,will,vontade,""
2945,willing,disposto,""
2946,win,ganhar,""
2947,wind,vento,""
2948,window,janela,""
2949,wine,vinho,""
2950,wing,asa,""
2951,winner,vencedor,""
2952,winter,inverno,""
2953,wipe,limpar,""
2954,wire,fio,""
2955,wisdom,sabedoria,""
2956,wise,"sábio",""
2957,wish,desejo,""
2958,with,com,""
2959,withdraw,retirar,""
2960,within,"dentro de",""
2961,without,sem,"/wɪθˈʌʊt/"
2962,witness,testemunha,"/ˈwɪtnəs/"
2963,woman,mulher,"/ˈwʊmɘn/"
2964,wonder,milagre,"/ˈwʌndə/"
2965,wonderful,maravilhoso,"/ˈwʌn.də.fl/"
2966,wood,madeira,"/wʊd/"
2967,wooden,"de madeira","/ˈwʊdən/"
2968,word,tornar-se,"/wɜːd/"
2969,work,trabalho,"/wɜːk/"
2970,worker,trabalhador,"/ˈwɜː.kə/"
2971,working,"de trabalho","/ˈwɜːkɪŋ/"
2972,works,obras,"/wɜːks/"
2973,workshop,oficina,"/ˈwɜːk.ʃɒp/"
2974,world,mundo,"/wɝld/"
2975,worried,preocupado,"/ˈwʌɹid/"
2976,worry,"preocupação","/ˈwɒɹi/"
2977,worth,valor,"/wɜːθ/"
2978,would,seria,"/wʊd/"
2979,wound,ferida,"/wuːnd/"
2980,wrap,"invólucro","/ɹæp/"
2981,write,escrever,"/ɹaɪt/"
2982,writer,escritor,"/ˈɹaɪ.tə/"
2983,writing,escrita,""
2984,wrong,errado,""
2985,yard,quintal,""
2986,yeah,sim,""
2987,year,ano,""
2988,yell,gritar,""
2989,yellow,amarelo,""
2990,yes,sim,""
2991,yesterday,ontem,""
2992,yet,ainda,""
2993,yield,rendimento,""
2994,you,tu,""
2995,young,jovem,""
2996,your,seu,""
2997,yours,seu,""
2998,yourself,"você mesmo",""
2999,youth,juventude,""
3000,zone,zona,""
